"LP";"Numer kodowy ";"Nazwa produktu";"odpadki";"wartość energetyczna";;"woda";"białko ogółem";"białko zwierzęce";"białko roślinne";"tłuszcz";"węglowodany ogółem";"popiół";"składniki mineralne";;;;;;;;;"witaminy";;;;;;;;;;;;"kwasy tłuszczowe nasycone";;;;;;;;;;;;"kwasy tłuszczowe jednonienasycone";;;;;;;;"kwasy tłuszczowe wielonienasycone";;;;;;;;;"cholesterol";"aminokwasy";;;;;;;;;;;;;;;;;;"węglowodany";;;;"% energii z:";;
;;;;;;;;;;;;;"sód";"potas";"wapń";"fosfor";"magnez";"żelazo";"cynk";"miedź";"mangan";"ek.retinolu";"retinol";"beta-karoten";"D";"E";"tiamina";"ryboflawina";"niacyna";" B6";"foliany";" B12";"C";"C 4:0";"C 6:0";"C 8:0";"C 10:0";"C 12:0";"C 14:0";"C 15:0";"C 16:0";"C 17:0";"C 18:0";"C 20:0";"ogółem";"C 14:1";"C 15:1";"C 16:1";"C 17:1";"C 18:1";"C 20:1";"C 22:1";"ogółem";"C 18:2";"C 18:3";"C 18:4";"C 20:3";"C 20:4";"C 20:5";"C 22:5";"C 22:6";"ogółem";;"izoleucyna";"leucyna";"lizyna";"metionina";"cystyna";"fenylo-alanina";"tyrozyna";"treonina";"tryptofan";"walina";"arginina";"histydyna";"alanina";"kwas asparaginowy";"kwas glutaminowy";"glicyna";"prolina";"seryna";"sacharoza";"laktoza";"skrobia";"błonnik pokarmowy";"białka";"tłuszczu";"węglo-wodanów"
;;;"g";"KJ";"kcal";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mcg";"mcg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mg";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"g";"g";"g";"g";;;
117;"3.2.2.006";"Mięso ze skrzydeł indyka bez skóry";0;480;115;76,3;18,0;18,0;0,0;4,7;0,0;1,0;62;359;5;207;27;1,2;2,27;0,04;0,01;20;20;0;0,10;0,02;0,015;0,153;1,15;0,20;3;0,70;0,0;0,00;0,00;0,00;0,00;0,00;0,05;0,00;1,04;0,00;0,33;0,00;1,42;0,00;0,00;0,25;0,00;1,81;0,04;0,00;2,10;0,80;0,09;0,00;0,00;0,09;0,00;0,00;0,00;0,98;70;935;1534;1677;658;246;728;649;837;109;976;1172;494;1098;1758;2821;861;725;720;0,0;0,0;0,0;0,0;64;36;0
118;"3.2.2.007";"Mięso ze skrzydeł indyka ze skórą";0;702;168;71,2;16,5;16,5;0,0;11,4;0,0;0,9;63;308;6;182;23;1,1;1,98;0,04;0,01;40;40;0;0,50;0,15;0,022;0,140;2,15;0,19;3;0,60;0,0;0,00;0,00;0,00;0,00;0,00;0,11;0,00;2,41;0,00;0,71;0,00;3,23;0,00;0,00;0,56;0,00;4,56;0,09;0,00;5,21;1,98;0,28;0,00;0,00;0,17;0,00;0,00;0,00;2,43;68;823;1357;1486;576;217;663;577;740;102;876;1100;434;1019;1604;2527;975;771;653;0,0;0,0;0,0;0,0;40;60;0
119;"3.2.2.008";"Mięso z udźca indyka bez skóry";0;433;104;76,7;19,4;19,4;0,0;2,8;0,0;1,1;77;414;4;227;28;0,8;2,64;0,08;0,01;20;20;0;0,20;0,02;0,056;0,274;9,27;0,30;26;1,70;0,0;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,64;0,00;0,20;0,00;0,87;0,00;0,00;0,15;0,00;1,12;0,02;0,00;1,29;0,50;0,06;0,00;0,00;0,05;0,00;0,00;0,00;0,61;81;932;1441;2054;529;122;709;627;1010;254;965;1244;547;1202;1925;3300;905;796;838;0,0;0,0;0,0;0,0;76;24;0
120;"3.2.2.009";"Mięso z udźca indyka ze skórą";0;550;131;74,2;18,4;18,4;0,0;6,4;0,0;1,0;76;384;5;213;26;0,8;2,46;0,07;0,01;40;40;0;0,40;0,07;0,056;0,256;9,04;0,28;26;1,70;0,0;0,00;0,00;0,00;0,00;0,00;0,07;0,00;1,36;0,00;0,40;0,00;1,83;0,00;0,00;0,32;0,00;2,55;0,05;0,00;2,92;1,08;0,16;0,00;0,00;0,10;0,00;0,00;0,00;1,34;79;869;1352;1911;497;118;673;589;939;236;910;1193;509;1146;1820;3089;951;807;789;0,0;0,0;0,0;0,0;57;43;0
121;"3.2.2.010";"Skóra z indyka";0;1729;413;47,9;9,4;9,4;0,0;42,4;0,0;0,3;64;80;9;65;6;0,8;0,65;0,03;0,01;50;50;0;0,80;0,83;0,058;0,082;6,71;0,15;3;0,50;0,0;0,00;0,00;0,00;0,00;0,00;0,39;0,00;8,47;0,00;2,42;0,00;11,28;0,00;0,00;1,97;0,00;16,77;3,49;0,00;22,23;7,17;1,15;0,00;0,00;0,56;0,00;0,00;0,00;8,88;135;296;531;596;202;84;360;244;291;68;407;748;158;639;881;1146;1454;953;342;0,0;0,0;0,0;0,0;9;91;0
122;"3.2.2.011";"Skrzydło indyka";0;702;168;71,2;16,5;16,5;0,0;11,4;0,0;0,9;63;308;6;182;23;1,1;1,98;0,04;0,01;40;40;0;0,50;0,15;0,023;0,140;2,15;0,19;3;0,60;0,0;0,00;0,00;0,00;0,00;0,00;0,11;0,00;2,41;0,00;0,71;0,00;3,23;0,00;0,00;0,56;0,00;4,56;0,09;0,00;5,21;1,98;0,28;0,00;0,00;0,17;0,00;0,00;0,00;2,43;68;823;1357;1486;576;217;663;577;740;102;876;1100;434;1019;1604;2527;975;771;653;0,0;0,0;0,0;0,0;40;60;0
123;"3.2.3.001";"Kaczka, tuszka";0;1288;308;57,2;13,5;13,5;0,0;28,6;0,0;0,7;66;242;8;149;14;2,1;1,42;0,14;0,03;24;24;0;1,40;0,20;0,177;0,226;3,45;0,10;13;0,20;0,0;0,00;0,00;0,03;0,00;0,00;0,13;0,03;5,54;0,05;1,42;0,19;7,39;0,03;0,00;1,24;0,03;13,50;0,22;0,08;15,10;3,87;0,22;0,00;0,00;0,03;0,00;0,00;0,00;4,12;76;611;954;1072;334;162;514;437;578;148;748;906;391;920;1175;2258;1025;684;582;0,0;0,0;0,0;0,0;18;82;0
124;"3.2.4.001";"Kura, tuszka";0;844;202;66,4;18,5;18,5;0,0;14,3;0,0;0,8;66;307;11;162;19;1,6;1,39;0,06;0,03;9;9;0;1,40;0,66;0,083;0,159;5,16;0,47;8;0,30;0,0;0,00;0,00;0,01;0,00;0,00;0,08;0,01;2,34;0,04;0,67;0,08;3,23;0,01;0,00;0,58;0,03;5,68;0,10;0,04;6,44;2,70;0,11;0,00;0,00;0,01;0,00;0,00;0,11;2,93;81;846;1437;1572;562;175;715;610;862;225;919;1234;535;1182;1840;2877;1214;940;755;0,0;0,0;0,0;0,0;37;63;0
125;"3.2.4.002";"Kurczak, tuszka";0;660;158;71,2;18,6;18,6;0,0;9,3;0,0;0,9;61;305;10;187;20;1,2;1,35;0,05;0,04;16;16;0;1,50;0,50;0,088;0,182;6,84;0,51;8;0,30;0,0;0,00;0,00;0,03;0,00;0,00;0,07;0,01;1,95;0,02;0,53;0,01;2,62;0,02;0,00;0,58;0,02;3,17;0,08;0,05;3,92;1,86;0,08;0,00;0,00;0,01;0,00;0,00;0,00;1,95;75;1027;1297;1661;518;230;634;602;748;296;1105;1207;773;1183;1770;2879;1097;844;728;0,0;0,0;0,0;0,0;48;52;0
126;"3.2.4.003";"Mięso z piersi kurczaka bez skóry";0;414;99;76,3;21,5;21,5;0,0;1,3;0,0;0,9;55;385;5;240;33;0,4;0,49;0,01;0,01;6;6;0;0,00;0,30;0,090;0,153;12,44;0,55;12;0,40;0,0;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,22;0,00;0,06;0,00;0,29;0,00;0,00;0,05;0,00;0,24;0,01;0,00;0,30;0,24;0,02;0,00;0,00;0,01;0,01;0,01;0,01;0,30;58;1251;1579;2022;631;279;772;735;911;360;1345;321;941;1441;2157;3505;1334;1028;886;0,0;0,0;0,0;0,0;88;12;0
127;"3.2.4.004";"Mięso z ud kurczaka bez skóry";0;525;125;75,2;17,8;17,8;0,0;6,0;0,0;1,0;91;334;8;215;26;0,7;1,40;0,08;0,01;20;20;0;0,10;0,30;0,080;0,246;3,06;0,33;12;0,40;0,0;0,00;0,00;0,00;0,00;0,00;0,05;0,00;1,12;0,00;0,31;0,00;1,48;0,00;0,00;0,29;0,00;1,48;0,03;0,00;1,80;1,49;0,08;0,00;0,00;0,05;0,02;0,02;0,06;1,72;84;982;1240;1590;497;220;606;578;715;283;1057;1154;739;1134;1694;2756;1049;809;697;0,0;0,0;0,0;0,0;58;42;0
128;"3.2.4.005";"Mięso z ud kurczaka ze skórą";0;663;158;72,0;16,8;16,8;0,0;10,2;0,0;1,0;85;300;9;196;23;0,7;1,28;0,08;0,01;20;20;0;0,50;0,38;0,080;0,226;2,78;0,31;12;0,40;0,0;0,00;0,00;0,00;0,00;0,03;0,06;0,01;2,17;0,00;0,55;0,06;2,88;0,01;0,00;0,58;0,00;3,29;0,06;0,00;3,94;1,81;0,08;0,01;0,00;0,05;0,02;0,02;0,05;2,04;84;891;1153;1456;462;201;569;529;664;253;969;1112;662;1093;1603;2556;1135;835;656;0,0;0,0;0,0;0,0;43;57;0
129;"3.2.4.006";"Noga (udo) kurczaka";0;663;158;72,0;16,8;16,8;0,0;10,2;0,0;1,0;85;300;9;196;23;0,7;1,28;0,08;0,01;20;20;0;0,50;0,38;0,080;0,226;2,78;0,31;12;0,40;0,0;0,00;0,00;0,00;0,00;0,03;0,06;0,01;2,17;0,00;0,55;0,06;2,88;0,01;0,00;0,58;0,00;3,29;0,06;0,00;3,94;1,81;0,08;0,01;0,00;0,05;0,02;0,02;0,05;2,04;84;891;1153;1456;462;201;569;529;664;253;969;1112;662;1093;1603;2556;1135;835;656;0,0;0,0;0,0;0,0;43;57;0
130;"3.2.4.007";"Skórki kurze";0;1584;379;51,1;10,7;10,7;0,0;37,9;0,0;0,3;46;76;17;78;7;1,0;0,52;0,04;0,03;24;24;0;1,90;0,92;0,081;0,098;0,98;0,12;4;1,00;0,0;0,00;0,00;0,00;0,01;0,21;0,18;0,06;9,03;0,00;2,14;0,46;12,09;0,07;0,00;2,52;0,00;15,14;0,22;0,00;17,95;3,95;0,04;0,07;0,00;0,00;0,00;0,00;0,00;4,06;135;316;614;615;251;85;340;224;349;69;414;866;172;861;1053;1318;1726;1025;403;0,0;0,0;0,0;0,0;11;89;0
131;"3.2.4.008";"Skrzydło kurczaka";0;778;186;67,1;19,2;19,2;0,0;12,2;0,0;1,5;73;156;14;139;18;1,4;1,30;0,04;0,01;44;44;0;0,60;0,50;0,050;0,090;5,90;0,35;7;0,30;0,0;0,00;0,00;0,00;0,00;0,00;0,12;0,00;2,81;0,00;0,78;0,00;3,71;0,00;0,00;0,89;0,00;4,62;0,09;0,00;5,60;1,36;0,10;0,00;0,00;0,06;0,03;0,03;0,07;1,65;77;863;1478;1641;592;164;720;612;825;208;937;1339;488;1262;1874;2812;1543;1066;777;0,0;0,0;0,0;0,0;42;58;0
132;"3.2.5.001";"Wątróbka  kurczaka";0;568;136;72,8;19,1;19,1;0,0;6,3;0,6;1,2;85;300;8;320;21;9,5;3,63;0,30;0,26;9304;9300;21;0,20;0,25;0,360;2,700;10,20;0,40;590;35,00;23,0;0,00;0,00;0,00;0,00;0,00;0,02;0,00;1,18;0,00;0,90;0,00;2,10;0,00;0,00;0,18;0,00;1,34;0,02;0,00;1,54;0,64;0,02;0,00;0,00;0,20;0,03;0,02;0,08;0,99;380;974;1719;1395;440;229;934;687;879;269;1166;1127;574;1185;1929;2540;1124;955;974;0,0;0,0;0,6;0,0;57;41;2
133;"3.2.5.002";"Żołądek kurczaka";0;475;114;76,2;18,2;18,2;0,0;4,2;0,6;0,8;69;188;8;135;13;3,5;3,00;0,10;0,07;65;65;0;0,20;0,20;0,090;0,050;4,50;0,12;53;0,60;3,0;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,65;0,00;0,35;0,00;1,03;0,00;0,00;0,18;0,00;0,89;0,00;0,00;1,07;0,86;0,03;0,00;0,00;0,32;0,00;0,00;0,00;1,21;130;919;1359;1336;508;255;804;587;891;173;865;1388;390;761;1778;3302;1014;1005;865;0,0;0,0;0,0;0,0;65;33;2
134;"3.3.1.001";"Królik, tuszka";0;653;156;69,8;21,0;21,0;0,0;8,0;0,0;1,2;43;385;19;183;26;2,6;2,19;0,15;0,04;0;0;0;0,40;0,13;0,030;0,060;7,00;0,59;5;10,00;0,0;0,00;0,00;0,00;0,00;0,00;0,20;0,05;2,27;0,06;0,70;0,00;3,28;0,00;0,00;0,16;0,00;1,41;0,00;0,00;1,57;1,58;0,75;0,00;0,00;0,14;0,10;0,00;0,00;2,57;65;1044;1616;1851;572;269;976;774;908;235;1077;1346;539;1279;2019;3466;1077;1077;875;0,0;0,0;0,0;0,0;55;45;0
135;"3.4.1.001";"Baleron gotowany";0;1019;244;63,1;15,1;14,3;0,8;20,2;0,9;0,7;749;312;17;176;16;1,3;2,77;0,09;0,06;0;0;0;0,56;0,35;0,510;0,224;3,26;0,23;1,3;0,50;0,0;0,00;0,00;0,00;0,00;0,00;0,43;0,12;4,28;0,04;2,20;0,00;7,07;0,00;0,00;0,81;0,00;9,23;0,13;0,00;10,17;1,15;0,13;0,00;0,00;0,12;0,00;0,00;0,00;1,40;58;790;1176;1243;407;172;663;560;754;209;800;998;506;849;1419;2299;877;717;662;0,7;0,0;0,0;0,0;25;73;2
136;"3.4.1.002";"Kabanosy";0;1365;326;46,8;27,4;27,4;0,0;24,3;0,0;1,5;1327;467;11;284;34;2,3;3,63;0,13;0,05;0;0;0;0,92;0,35;0,848;0,330;8,09;0,69;3,2;0,86;0,0;0,00;0,00;0,00;0,00;0,00;0,53;0,14;5,20;0,05;2,68;0,00;8,60;0,00;0,00;0,99;0,00;11,22;0,16;0,00;12,37;1,40;0,16;0,00;0,00;0,14;0,00;0,00;0,00;1,70;86;1449;2139;2292;766;318;1182;1014;1389;385;1467;1803;933;1557;2526;4094;1612;1292;1182;0,0;0,0;0,0;0,0;34;66;0
137;"3.4.1.003";"Kiełbasa domowa";0;1337;320;54,8;14,7;14,6;0,1;29,2;0,5;0,8;826;243;7;139;17;1,4;2,09;0,07;0,04;3;3;0;0,55;0,67;0,394;0,180;4,32;0,36;3;0,68;0,5;0,00;0,00;0,00;0,00;0,02;0,50;0,10;5,87;0,08;3,02;0,04;9,63;0,15;0,05;1,15;0,11;13,21;0,23;0,00;14,90;1,58;0,21;0,00;0,00;0,10;0,00;0,00;0,00;1,89;65;836;1168;1263;404;178;640;535;716;188;769;967;500;852;1349;2230;833;650;619;0,0;0,0;0,2;0,1;18;81;1
138;"3.4.1.004";"Kiełbasa krakowska sucha";0;1353;323;48,2;25,6;25,6;0,0;24,8;0,0;1,4;1273;429;8;275;33;2,1;3,38;0,11;0,04;2;2;0;0,82;0,71;0,808;0,332;8,17;0,73;3;0,90;0,0;0,00;0,00;0,00;0,00;0,01;0,46;0,11;5,13;0,06;2,63;0,03;8,43;0,10;0,03;0,99;0,07;11,49;0,19;0,00;12,87;1,39;0,17;0,00;0,00;0,10;0,00;0,00;0,00;1,66;82;1397;2007;2158;712;301;1106;943;1282;350;1359;1680;871;1466;2354;3839;1494;1187;1096;0,0;0,0;0,0;0,0;32;68;0
139;"3.4.1.005";"Kiełbasa lubuska";0;1043;249;58,8;17,5;15,6;1,9;18,0;4,8;0,9;1465;401;13;217;22;1,7;2,16;0,13;0,08;0;0;0;0,56;0,18;0,472;0,202;4,37;0,36;2;0,50;0,7;0,00;0,00;0,00;0,00;0,00;0,38;0,10;3,79;0,04;1,95;0,00;6,26;0,00;0,00;0,72;0,00;8,17;0,12;0,00;9,01;1,03;0,12;0,00;0,00;0,10;0,00;0,00;0,00;1,25;54;908;1361;1424;460;198;776;649;859;239;920;1170;577;971;1668;2708;1003;833;775;1,2;0,0;2,5;0,1;28;64;8
140;"3.4.1.006";"Kiełbasa mortadela";0;859;205;69,6;12,0;12,0;0,0;17,7;0,0;0,7;698;169;13;105;12;1,2;1,74;0,05;0,02;3;3;0;0,39;0,28;0,167;0,127;2,76;0,19;2;0,54;0,0;0,00;0,00;0,00;0,00;0,01;0,35;0,08;3,66;0,06;1,93;0,02;6,11;0,07;0,02;0,71;0,05;7,79;0,12;0,00;8,76;0,93;0,12;0,00;0,00;0,07;0,00;0,00;0,00;1,12;44;627;968;1042;322;140;530;451;557;148;631;757;404;673;1059;1895;634;640;519;0,0;0,0;0,0;0,0;24;76;0
141;"3.4.1.007";"Kiełbasa myśliwska sucha";0;1216;291;50,7;27,8;27,8;0,0;20,1;0,0;1,4;1291;463;10;269;33;2,5;3,85;0,12;0,05;5;5;0;0,87;0,32;0,621;0,305;7,67;0,59;5;1,08;0,0;0,00;0,00;0,00;0,00;0,00;0,47;0,12;4,41;0,08;2,42;0,00;7,50;0,04;0,00;0,83;0,03;8,90;0,12;0,00;9,92;1,04;0,14;0,00;0,00;0,09;0,00;0,00;0,00;1,27;84;1441;2221;2399;776;337;1219;1029;1379;367;1471;1822;957;1611;2567;4228;1556;1235;1185;0,0;0,0;0,0;0,0;39;61;0
142;"3.4.1.008";"Kiełbasa parówkowa";0;1353;323;56,7;11,0;11,0;0,0;31,5;0,0;0,8;839;134;15;90;9;1,2;1,40;0,05;0,02;3;3;0;0,47;0,47;0,151;0,120;2,43;0,17;2;0,56;0,0;0,00;0,00;0,00;0,00;0,01;0,58;0,13;6,48;0,09;3,30;0,04;10,63;0,12;0,04;1,27;0,08;14,15;0,23;0,00;15,89;1,75;0,21;0,00;0,00;0,12;0,00;0,00;0,00;2,08;55;590;868;934;281;124;476;401;489;128;572;697;356;629;957;1721;654;651;474;0,0;0,0;0,0;0,0;14;86;0
143;"3.4.1.009";"Kiełbasa podwawelska";0;1033;247;61,3;17,3;17,1;0,2;19,6;0,9;0,9;1017;303;10;172;22;1,5;2,32;0,10;0,06;0;0;0;0,62;0,20;0,513;0,201;4,78;0,39;2,1;0,55;0,7;0,00;0,00;0,00;0,00;0,00;0,42;0,11;4,15;0,04;2,13;0,00;6,85;0,00;0,00;0,79;0,00;8,93;0,13;0,00;9,85;1,12;0,13;0,00;0,00;0,11;0,00;0,00;0,00;1,36;59;915;1350;1444;481;202;746;638;875;243;928;1150;588;979;1597;2591;1016;812;746;0,1;0,0;0,4;0,1;29;70;1
144;"3.4.1.010";"Kiełbasa rzeszowska";0;851;203;64,6;20,9;20,9;0,0;13,4;0,0;1,1;976;356;7;217;26;1,8;2,87;0,10;0,04;1;1;0;0,65;0,27;0,595;0,252;6,24;0,52;3;0,69;0,0;0,00;0,00;0,00;0,00;0,00;0,30;0,08;2,92;0,03;1,53;0,00;4,86;0,01;0,00;0,55;0,01;6,15;0,08;0,00;6,80;0,75;0,09;0,00;0,00;0,07;0,00;0,00;0,00;0,91;61;1098;1644;1767;584;246;907;774;1052;288;1111;1374;714;1196;1929;3142;1209;966;898;0,0;0,0;0,0;0,0;42;58;0
145;"3.4.1.011";"Kiełbasa śląska";0;879;210;65,4;18,4;18,4;0,0;15,3;0,0;0,9;885;323;7;189;23;1,6;2,56;0,09;0,03;0;0;0;0,61;0,23;0,555;0,225;5,46;0,45;2,1;0,57;0,0;0,00;0,00;0,00;0,00;0,00;0,33;0,09;3,27;0,03;1,68;0,00;5,40;0,00;0,00;0,62;0,00;7,06;0,10;0,00;7,78;0,88;0,10;0,00;0,00;0,09;0,00;0,00;0,00;1,07;58;974;1437;1540;514;214;794;681;934;259;978;1211;627;1046;1697;2751;1083;868;794;0,0;0,0;0,0;0,0;36;64;0
146;"3.4.1.012";"Kiełbasa toruńska";0;1099;263;57,9;20,9;20,9;0,0;20,1;0,0;1,1;1007;347;9;197;24;1,9;2,98;0,10;0,04;3;3;0;0,71;0,23;0,505;0,229;5,60;0,43;3;0,77;0,0;0,00;0,00;0,00;0,00;0,00;0,45;0,11;4,29;0,06;2,28;0,00;7,19;0,02;0,00;0,81;0,01;8,98;0,12;0,00;9,94;1,09;0,13;0,00;0,00;0,10;0,00;0,00;0,00;1,32;69;1090;1658;1787;583;250;912;774;1044;281;1110;1371;716;1203;1929;3161;1188;946;894;0,0;0,0;0,0;0,0;32;68;0
147;"3.4.1.013";"Kiełbasa zwyczajna";0;876;209;65,9;17,6;17,6;0,0;15,6;0,0;0,9;848;258;13;161;19;1,6;2,47;0,08;0,03;4;4;0;0,53;0,16;0,298;0,178;4,14;0,29;3;0,68;0,0;0,00;0,00;0,00;0,00;0,00;0,36;0,09;3,36;0,06;1,83;0,00;5,70;0,02;0,00;0,63;0,02;6,82;0,09;0,00;7,58;0,80;0,11;0,00;0,00;0,07;0,00;0,00;0,00;0,98;53;905;1418;1521;489;204;779;670;850;231;943;1104;597;974;1575;2774;907;892;766;0,0;0,0;0,0;0,0;34;66;0
148;"3.4.1.014";"Kiełbasa żywiecka";0;1318;315;52,4;20,3;20,3;0,0;26,3;0,0;1,0;1031;328;7;189;23;1,9;2,90;0,08;0,03;6;6;0;0,67;0,64;0,410;0,231;5,70;0,45;4;0,96;0,0;0,00;0,00;0,00;0,00;0,01;0,49;0,10;5,41;0,10;2,89;0,04;9,04;0,15;0,04;1,05;0,11;11,69;0,19;0,00;13,23;1,35;0,19;0,00;0,00;0,08;0,00;0,00;0,00;1,62;75;1101;1636;1778;562;252;895;747;985;255;1059;1326;698;1190;1868;3108;1114;873;854;0,0;0,0;0,0;0,0;26;74;0
149;"3.4.1.015";"Kiełbaski bawarskie";0;1290;308;55,9;15,5;15,4;0,1;27,7;0,1;0,8;853;264;12;150;20;1,6;2,16;0,08;0,08;1;1;1;0,60;0,40;0,450;0,188;4,38;0,35;2;0,59;0,0;0,00;0,00;0,00;0,00;0,01;0,55;0,13;5,74;0,06;2,95;0,02;9,46;0,05;0,02;1,11;0,04;12,58;0,19;0,00;13,99;1,54;0,19;0,00;0,00;0,13;0,00;0,00;0,00;1,86;62;841;1217;1308;431;182;671;572;777;211;823;1016;528;887;1426;2326;902;718;663;0,0;0,0;0,0;0,0;20;80;0
150;"3.4.1.016";"Mielonka (Luncheon meat)";0;713;171;71,2;12,8;11,5;1,3;11,7;3,7;0,6;1065;296;9;158;15;1,3;1,68;0,09;0,05;0;0;0;0,40;0,13;0,336;0,151;3,28;0,26;1,4;0,36;0,0;0,00;0,00;0,00;0,00;0,00;0,25;0,07;2,47;0,02;1,27;0,00;4,08;0,00;0,00;0,47;0,00;5,32;0,08;0,00;5,87;0,67;0,08;0,00;0,00;0,07;0,00;0,00;0,00;0,82;39;665;996;1044;337;145;568;477;631;175;666;848;422;714;1219;1978;736;612;568;1,0;0,0;2,3;0,0;30;61;9
151;"3.4.1.017";"Paróweczki śniadaniowe             (z olejem)";0;977;234;66,6;11,9;10,5;1,4;20,9;0,1;0,5;650;193;8;102;13;1,3;1,64;0,09;0,06;3;3;0;0,35;2,13;0,145;0,108;2,70;0,16;2;0,50;0,0;0,00;0,00;0,00;0,00;0,00;0,30;0,08;3,19;0,05;1,66;0,04;5,32;0,02;0,00;0,56;0,02;9,99;0,09;0,14;10,82;2,17;0,94;0,00;0,00;0,06;0,00;0,00;0,00;3,17;38;605;971;1020;295;134;545;443;565;134;616;793;401;676;1140;1897;624;523;518;0,0;0,0;0,0;0,0;21;79;0
152;"3.4.1.018";"Parówki popularne";0;1431;342;55,4;9,5;9,5;0,0;34,3;0,0;0,8;889;120;5;67;8;1,1;1,11;0,05;0,03;3;3;0;0,52;0,43;0,123;0,100;2,32;0,14;2;0,58;0,0;0,00;0,00;0,00;0,00;0,01;0,64;0,14;7,09;0,10;3,63;0,04;11,65;0,13;0,04;1,39;0,09;15,12;0,24;0,00;17,01;1,89;0,23;0,00;0,00;0,13;0,00;0,00;0,00;2,25;56;494;719;786;234;109;395;314;421;100;467;647;295;607;865;1404;729;522;392;0,0;0,0;0,0;0,0;11;89;0
153;"3.4.1.019";"Polędwica luksusowa";0;742;177;67,2;19,5;19,4;0,1;10,0;2,4;0,9;1555;325;14;195;23;1,1;1,97;0,06;0,04;0;0;1;0,52;0,21;0,864;0,183;6,57;0,47;2,8;0,53;0,0;0,00;0,00;0,00;0,00;0,00;0,22;0,07;2,11;0,02;1,09;0,00;3,51;0,00;0,00;0,40;0,00;4,55;0,06;0,00;5,01;0,57;0,06;0,00;0,00;0,06;0,00;0,00;0,00;0,69;64;1030;1521;1629;543;226;843;721;988;274;1039;1284;664;1107;1803;2918;1147;920;843;0,4;0,0;2,0;0,0;45;50;5
154;"3.4.1.020";"Polędwica sopocka";0;690;165;69,2;19,9;19,0;0,9;9,1;0,9;0,9;748;374;15;218;23;1,1;1,77;0,07;0,05;0;0;0;0,49;0,21;0,898;0,178;6,56;0,47;1,9;0,51;0,0;0,00;0,00;0,00;0,00;0,00;0,20;0,06;1,92;0,02;0,99;0,00;3,19;0,00;0,00;0,36;0,00;4,14;0,05;0,00;4,55;0,52;0,05;0,00;0,00;0,05;0,00;0,00;0,00;0,62;63;1043;1550;1644;541;228;870;739;996;276;1056;1313;670;1121;1862;3018;1159;944;870;0,7;0,0;0,0;0,0;49;49;2
155;"3.4.1.021";"Salami luksusowe";0;2260;540;25,5;21,9;21,8;0,1;50,6;0,9;1,1;1304;349;9;197;26;2,2;3,31;0,10;0,07;8;8;1;0,83;1,27;0,482;0,272;6,34;0,52;5;1,19;0,0;0,00;0,00;0,00;0,00;0,03;0,84;0,16;10,08;0,16;5,22;0,09;16,58;0,32;0,11;1,98;0,22;22,74;0,41;0,00;25,78;2,67;0,36;0,00;0,00;0,14;0,00;0,00;0,00;3,17;105;1274;1762;1918;600;272;962;797;1047;265;1130;1425;749;1291;2002;3348;1209;935;912;0,6;0,0;0,0;0,0;16;83;1
156;"3.4.1.022";"Salami mini";0;2293;548;24,7;21,7;21,6;0,1;51,6;0,9;1,1;1304;347;9;197;25;2,2;3,22;0,10;0,07;7;7;1;0,84;1,27;0,513;0,273;6,35;0,53;4;1,15;0,0;0,00;0,00;0,00;0,00;0,03;0,85;0,16;10,27;0,16;5,29;0,09;16,85;0,31;0,11;2,02;0,22;23,25;0,41;0,00;26,32;2,74;0,37;0,00;0,00;0,15;0,00;0,00;0,00;3,26;105;1269;1738;1890;594;267;950;789;1042;267;1122;1413;740;1274;1984;3306;1212;939;906;0,6;0,0;0,0;0,0;16;83;1
157;"3.4.1.023";"Salami popularne";0;2376;568;22,2;21,6;21,5;0,1;53,7;1,4;1,1;1307;348;10;192;25;2,2;3,22;0,10;0,07;7;7;1;0,86;1,26;0,498;0,268;6,15;0,51;4;1,15;0,5;0,00;0,00;0,00;0,00;0,03;0,90;0,17;10,70;0,16;5,51;0,09;17,56;0,31;0,11;2,10;0,22;24,16;0,43;0,00;27,33;2,86;0,38;0,00;0,00;0,16;0,00;0,00;0,00;3,40;107;1264;1730;1879;590;266;945;784;1036;265;1118;1413;737;1266;1976;3294;1204;931;901;0,6;0,0;0,2;0,1;15;84;1
